combo_id,Gory_Images,violence_content,violence_setting,violence_style,reactions_to_violence,violence_presentation,blood_gore_level,war_setting,injury_penalties,violent_overtones,violence_setting_context,pixelated_childlike_style,reactions_to_violence_type,violence_presentation_style,blood_gore_level_associated,creatures_human_behaviour,violence_against_real_animals,violent_overtones_present,disturbing_images_explicitness,blood_unrelated_description,summary,country,rating
28,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Moderate blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Teen
29,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,Yes,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Moderate blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Teen
30,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,Yes,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Moderate blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Teen
31,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,No,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Moderate blood and gore | Fierce sounds or dark overtones,North America,Teen
32,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,No,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Moderate blood and gore,North America,Teen
33,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,No,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Moderate blood and gore | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Teen
34,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,No,"Yes, with penalties",No,,,,,,,,,,,"App has ratings-relevant content as part of the downloaded app package | Human buttocks (often) | Female fantasy creatures' breasts, e.g., harpies (rarely) | Female human breasts with nipples (rarely) | Genitalia (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
35,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,No,"Yes, without penalties",Yes,,,,,,,,,,,"App has ratings-relevant content as part of the downloaded app package | Human buttocks (often) | Female fantasy creatures' breasts, e.g., harpies (rarely) | Female human breasts with nipples (rarely) | Genitalia (rarely)",North America,Mature 17+
36,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,Moderate,No,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | Moderate blood and gore | Violence towards defenseless characters without penalties,North America,Teen
37,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Teen
38,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting,North America,Teen
39,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Teen
40,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Teen
41,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,Yes,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Teen
42,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,Yes,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Teen
43,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,No,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | High amount of blood and gore | Fierce sounds or dark overtones,North America,Teen
44,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,No,No,No,,,,,,,,,,,"App has ratings-relevant content as part of the downloaded app package | Human buttocks (often) | Female fantasy creatures' breasts, e.g., harpies (often) | Female human breasts with nipples (rarely) | Genitalia (rarely)",North America,Mature 17+
45,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,No,"Yes, with penalties",Yes,,,,,,,,,,,"App has ratings-relevant content as part of the downloaded app package | Human buttocks (often) | Female fantasy creatures' breasts, e.g., harpies (often) | Female human breasts with nipples (rarely) | Genitalia (often) | Nudity in an erotic setting or context",North America,Adults only 18+
46,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,No,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | High amount of blood and gore | Violence towards defenseless characters with penalties,North America,Teen
47,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,No,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | High amount of blood and gore | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Teen
48,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Referred to,High,No,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is referred to | High amount of blood and gore | Violence towards defenseless characters without penalties,North America,Teen
49,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Everyone 10+
50,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Realistic or historical war setting,North America,Everyone
51,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Everyone 10+
52,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Everyone
53,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,Yes,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Realistic or historical war setting | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Everyone 10+
54,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,Yes,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Everyone
55,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,No,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Fierce sounds or dark overtones,North America,Everyone 10+
56,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,No,No,No,,,,,,,,,,,"App has ratings-relevant content as part of the downloaded app package | Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Female fantasy creatures' breasts, e.g., harpies (rarely) | Female human breasts with nipples (often) | Genitalia (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
57,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,No,"Yes, with penalties",Yes,,,,,,,,,,,"App has ratings-relevant content as part of the downloaded app package | Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Female fantasy creatures' breasts, e.g., harpies (rarely) | Female human breasts with nipples (often) | Genitalia (rarely)",North America,Mature 17+
58,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,No,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Violence towards defenseless characters with penalties,North America,Everyone
59,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,No,"Yes, without penalties",Yes,,,,,,,,,,,"App has ratings-relevant content as part of the downloaded app package | Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Female fantasy creatures' breasts, e.g., harpies (rarely) | Female human breasts with nipples (often) | Genitalia (often)",North America,Adults only 18+
60,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,None,No,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Violence towards defenseless characters without penalties,North America,Everyone
61,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,Mild/Limited,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Mild/Limited blood and gore | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Everyone 10+
62,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,Mild/Limited,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Mild/Limited blood and gore | Realistic or historical war setting,North America,Everyone 10+
63,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,Mild/Limited,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Everyone 10+
64,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,Mild/Limited,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Everyone 10+
65,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,Mild/Limited,Yes,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Everyone 10+
66,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,Mild/Limited,Yes,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Everyone 10+
67,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,Mild/Limited,No,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Mild/Limited blood and gore | Fierce sounds or dark overtones,North America,Everyone 10+
68,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,Mild/Limited,No,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Mild/Limited blood and gore,North America,Everyone 10+
69,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,Mild/Limited,No,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Mild/Limited blood and gore | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Everyone 10+
70,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,Mild/Limited,No,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Mild/Limited blood and gore | Violence towards defenseless characters with penalties,North America,Everyone 10+
71,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a childlike style (e.g., likely to appeal to younger children)",Unrealistic,Implied but not seen,Mild/Limited,No,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted unrealistically | Violence is implied | Mild/Limited blood and gore | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Everyone 10+
